step,Idle,Recharging,With passenger,Rebalancing
0,500,0,0,0
1,500,0,0,0
2,490,0,0,10
3,478,0,0,22
4,432,0,0,68
5,382,0,0,118
6,293,0,0,207
7,219,0,0,281
8,125,0,0,375
9,47,0,0,453
10,20,0,0,480
11,11,0,0,489
12,6,0,0,494
13,3,0,0,497
14,2,0,0,498
15,2,0,0,498
16,178,0,0,322
17,202,0,1,297
18,189,0,2,309
19,199,0,5,296
20,10,0,5,485
21,49,0,11,440
22,58,0,16,426
23,345,0,19,136
24,12,0,21,467
25,107,0,24,369
26,14,0,25,461
27,67,0,25,408
28,31,0,27,442
29,220,0,26,254
30,234,0,27,239
31,366,0,27,107
32,237,0,26,237
33,201,0,30,269
34,4,0,30,466
35,274,0,29,197
36,30,0,27,443
37,65,0,29,406
38,52,0,30,418
39,233,0,30,237
40,19,0,32,449
41,232,0,33,235
42,5,0,38,457
43,76,0,40,384
44,101,0,45,354
45,73,0,44,383
46,99,0,46,355
47,122,0,45,333
48,10,0,44,446
49,32,0,47,421
50,185,0,52,263
51,312,0,53,135
52,20,0,53,427
53,340,0,54,106
54,27,0,55,418
55,112,0,55,333
56,50,0,60,390
57,92,0,66,342
58,117,0,60,323
59,168,0,63,269
60,99,0,68,333
61,318,0,73,109
62,360,0,76,64
63,362,0,73,65
64,228,0,77,195
65,324,0,80,96
66,6,0,84,410
67,97,0,87,316
68,276,0,92,132
69,355,0,96,49
70,271,0,97,132
71,399,0,93,8
72,232,0,97,171
73,369,0,100,31
74,52,0,100,348
75,123,0,103,274
76,335,0,101,64
77,384,0,102,14
78,136,0,100,264
79,369,0,99,32
80,15,0,107,378
81,357,0,101,42
82,327,0,107,66
83,166,0,110,224
84,146,0,111,243
85,377,0,113,10
86,377,0,112,11
87,384,0,111,5
88,363,0,110,27
89,383,0,114,3
90,337,0,124,39
91,332,0,128,40
92,362,0,131,7
93,367,0,127,6
94,104,0,137,259
95,354,0,141,5
96,316,0,137,47
97,353,0,143,4
98,308,0,150,42
99,344,0,146,10
100,307,0,149,44
101,347,0,149,4
102,339,0,153,8
103,341,0,150,9
104,324,0,155,21
105,337,0,155,8
106,264,0,162,74
107,304,0,162,34
108,304,0,167,29
109,328,0,168,4
110,321,0,174,5
111,323,0,174,3
112,290,0,181,29
113,313,0,184,3
114,304,0,193,3
115,304,0,193,3
116,297,0,193,10
117,296,0,201,3
118,291,0,199,10
119,287,0,205,8
120,282,0,211,7
121,292,0,207,1
122,274,0,214,12
123,274,0,222,4
124,263,0,233,4
125,250,0,244,6
126,240,0,251,9
127,239,0,259,2
128,228,0,271,1
129,222,0,277,1
130,210,0,283,7
131,211,0,287,2
132,205,0,294,1
133,209,0,286,5
134,205,0,291,4
135,206,0,290,4
136,199,0,291,10
137,203,0,293,4
138,193,0,299,8
139,202,0,292,6
140,196,0,290,14
141,203,0,287,10
142,198,0,293,9
143,200,0,295,5
144,185,0,304,11
145,193,0,303,4
146,188,0,302,10
147,195,0,300,5
148,188,0,302,10
149,193,0,303,4
150,188,0,307,5
151,181,0,311,8
152,172,0,322,6
153,161,0,333,6
154,146,0,347,7
155,140,0,357,3
156,138,0,360,2
157,137,0,363,0
158,130,0,370,0
159,133,0,365,2
160,130,0,369,1
161,121,0,379,0
162,107,0,392,1
163,105,0,394,1
164,99,0,399,2
165,87,0,413,0
166,80,0,415,5
167,76,0,420,4
168,71,0,426,3
169,68,0,429,3
170,63,0,430,7
171,59,0,435,6
172,66,0,430,4
173,55,0,445,0
174,36,0,464,0
175,47,0,449,4
176,36,0,462,2
177,41,0,458,1
178,37,0,460,3
179,20,0,477,3
180,5,0,475,20
181,20,0,475,5
182,22,0,468,10
183,17,0,475,8
184,11,0,481,8
185,2,0,494,4
186,1,0,496,3
187,1,0,496,3
188,1,0,496,3
189,5,0,491,4
190,0,0,495,5
191,6,0,487,7
192,10,0,483,7
193,28,0,466,6
194,13,0,471,16
195,18,0,475,7
196,10,0,483,7
197,7,0,482,11
198,17,0,467,16
199,11,0,481,8
200,12,0,484,4
201,3,0,492,5
202,10,0,484,6
203,20,0,468,12
204,16,0,476,8
205,38,0,453,9
206,37,0,443,20
207,52,0,437,11
208,48,0,435,17
209,35,0,460,5
210,22,0,470,8
211,44,0,449,7
212,52,0,433,15
213,45,0,453,2
214,35,0,451,14
215,45,0,446,9
216,42,0,444,14
217,60,0,436,4
218,34,0,456,10
219,57,0,436,7
220,48,0,443,9
221,50,0,446,4
222,32,0,452,16
223,45,0,450,5
224,46,0,450,4
225,50,0,447,3
226,57,0,440,3
227,53,0,443,4
228,47,0,443,10
229,48,0,446,6
230,37,0,446,17
231,25,0,470,5
232,41,0,447,12
233,35,0,464,1
234,32,0,464,4
235,23,0,475,2
236,27,0,469,4
237,16,0,478,6
238,14,0,482,4
239,12,0,487,1
240,2,0,496,2
241,4,0,495,1
242,11,0,480,9
243,4,0,493,3
244,7,0,481,12
245,16,0,476,8
246,20,0,459,21
247,20,0,472,8
248,12,0,468,20
249,18,0,468,14
250,11,0,471,18
251,6,0,482,12
252,9,0,485,6
253,15,0,479,6
254,18,0,443,39
255,29,0,415,56
256,118,0,382,0
257,131,0,369,0
258,153,0,347,0
259,179,0,321,0
260,210,0,290,0
261,238,0,262,0
262,272,0,228,0
263,297,0,203,0
264,326,0,174,0
265,344,0,156,0
266,374,0,126,0
267,398,0,102,0
268,417,0,83,0
269,426,0,74,0
270,440,0,60,0
271,453,0,47,0
272,462,0,38,0
273,470,0,30,0
274,474,0,26,0
275,477,0,23,0
276,481,0,19,0
277,486,0,14,0
278,490,0,10,0
279,491,0,9,0
280,492,0,8,0
281,494,0,6,0
282,496,0,4,0
283,497,0,3,0
284,497,0,3,0
